product_name,price,rating,review_count,url,score
"TCL 43"" S5-Series 4K UHD HDR LED Smart Google TV (43S551G-CA) - 2024",289.99,4.79,302,/en-ca/product/tcl-43-s5-series-4k-uhd-hdr-led-smart-google-tv-43s551g-ca-2024/17856027,123.674
"Sony Bravia 7 65"" XR70 Series 4K UHD HDR Mini LED QLED Smart Google TV (K65XR70B) - 2024",1999.99,4.7,296,/en-ca/product/sony-bravia-7-65-xr70-series-4k-uhd-hdr-mini-led-qled-smart-google-tv-k65xr70b-2024/17909537,121.22
"Hisense 65"" U88N Series 4K UHD HDR Mini LED Pro QLED Smart Google TV (65U88N) - 2024",1299.99,4.77,275,/en-ca/product/hisense-65-u88n-series-4k-uhd-hdr-mini-led-pro-qled-smart-google-tv-65u88n-2024/17909556,112.862
"Sony Bravia 7 75"" XR70 Series 4K UHD HDR Mini LED QLED Smart Google TV (K75XR70B) - 2024",2599.99,4.65,274,/en-ca/product/sony-bravia-7-75-xr70-series-4k-uhd-hdr-mini-led-qled-smart-google-tv-k75xr70b-2024/17909536,112.39000000000001
"Hisense 55"" U88N Series 4K UHD HDR Mini LED Pro QLED Smart Google TV (55U88N) - 2024",899.99,4.79,272,/en-ca/product/hisense-55-u88n-series-4k-uhd-hdr-mini-led-pro-qled-smart-google-tv-55u88n-2024/17909555,111.674
"TCL 50"" S5-Series 4K UHD HDR LED Smart Google TV (50S551G-CA) - 2024",369.99,4.73,271,/en-ca/product/tcl-50-s5-series-4k-uhd-hdr-led-smart-google-tv-50s551g-ca-2024/17856028,111.238
"Sony Bravia 3 75"" S30B Series 4K UHD HDR LED Smart Google TV (K75S30B) - 2024",1299.99,4.56,254,/en-ca/product/sony-bravia-3-75-s30b-series-4k-uhd-hdr-led-smart-google-tv-k75s30b-2024/17909548,104.33600000000001
"LG 50"" UT8000 Series 4K UHD HDR LED webOS 24 Smart TV (50UT8000PUA) - 2024",449.99,4.37,251,/en-ca/product/lg-50-ut8000-series-4k-uhd-hdr-led-webos-24-smart-tv-50ut8000pua-2024/17924091,103.022
"Samsung 98"" 4K UHD HDR LED Tizen OS Smart TV (UN98DU9000FXZC) - 2024",2799.99,4.78,245,/en-ca/product/samsung-98-4k-uhd-hdr-led-tizen-os-smart-tv-un98du9000fxzc-2024/17905286,100.868
"Samsung 55"" S90D Series 4K UHD HDR OLED Tizen Smart TV (QN55S90DAFXZC) - 2024 - Graphite Black",1499.99,4.62,243,/en-ca/product/samsung-55-s90d-series-4k-uhd-hdr-oled-tizen-smart-tv-qn55s90dafxzc-2024-graphite-black/17729154,99.97200000000001
